Region,Anzsic_descriptor,Sub_industry,Household_category,Gas,Year,Data_value,Units,Magnitude
Tasman/Nelson,"Agriculture, forestry, and fishing",Total,Total,Carbon dioxide equivalents,2022,506.81,Kilotonnes,Carbon dioxide equivalents
Tasman/Nelson,"Agriculture, forestry, and fishing",Total,Total,Carbon dioxide equivalents,2023,496.27,Kilotonnes,Carbon dioxide equivalents
Tasman/Nelson,"Agriculture, forestry, and fishing",Total,Total,Carbon dioxide equivalents,2024,470.96,Kilotonnes,Carbon dioxide equivalents
Waikato,"Agriculture, forestry, and fishing",Total,Total,Carbon dioxide equivalents,2007,8450.01,Kilotonnes,Carbon dioxide equivalents
Waikato,"Agriculture, forestry, and fishing",Total,Total,Carbon dioxide equivalents,2008,8107.44,Kilotonnes,Carbon dioxide equivalents
Waikato,"Agriculture, forestry, and fishing",Total,Total,Carbon dioxide equivalents,2009,8191.4,Kilotonnes,Carbon dioxide equivalents
Waikato,"Agriculture, forestry, and fishing",Total,Total,Carbon dioxide equivalents,2010,8147.66,Kilotonnes,Carbon dioxide equivalents
Waikato,"Agriculture, forestry, and fishing",Total,Total,Carbon dioxide equivalents,2011,8329.5,Kilotonnes,Carbon dioxide equivalents
Waikato,"Agriculture, forestry, and fishing",Total,Total,Carbon dioxide equivalents,2012,8496.47,Kilotonnes,Carbon dioxide equivalents
Waikato,"Agriculture, forestry, and fishing",Total,Total,Carbon dioxide equivalents,2013,8605.28,Kilotonnes,Carbon dioxide equivalents
Waikato,"Agriculture, forestry, and fishing",Total,Total,Carbon dioxide equivalents,2014,8680.8,Kilotonnes,Carbon dioxide equivalents
Waikato,"Agriculture, forestry, and fishing",Total,Total,Carbon dioxide equivalents,2015,8554.79,Kilotonnes,Carbon dioxide equivalents
Waikato,"Agriculture, forestry, and fishing",Total,Total,Carbon dioxide equivalents,2016,8581.66,Kilotonnes,Carbon dioxide equivalents
Waikato,"Agriculture, forestry, and fishing",Total,Total,Carbon dioxide equivalents,2017,8566.85,Kilotonnes,Carbon dioxide equivalents
Waikato,"Agriculture, forestry, and fishing",Total,Total,Carbon dioxide equivalents,2018,8647.46,Kilotonnes,Carbon dioxide equivalents
Waikato,"Agriculture, forestry, and fishing",Total,Total,Carbon dioxide equivalents,2019,8670.79,Kilotonnes,Carbon dioxide equivalents
Waikato,"Agriculture, forestry, and fishing",Total,Total,Carbon dioxide equivalents,2020,8674.97,Kilotonnes,Carbon dioxide equivalents
Waikato,"Agriculture, forestry, and fishing",Total,Total,Carbon dioxide equivalents,2021,8873.45,Kilotonnes,Carbon dioxide equivalents
Waikato,"Agriculture, forestry, and fishing",Total,Total,Carbon dioxide equivalents,2022,8382.35,Kilotonnes,Carbon dioxide equivalents
Waikato,"Agriculture, forestry, and fishing",Total,Total,Carbon dioxide equivalents,2023,8237.87,Kilotonnes,Carbon dioxide equivalents
Waikato,"Agriculture, forestry, and fishing",Total,Total,Carbon dioxide equivalents,2024,8087.8,Kilotonnes,Carbon dioxide equivalents
Wellington,"Agriculture, forestry, and fishing",Total,Total,Carbon dioxide equivalents,2007,1421.72,Kilotonnes,Carbon dioxide equivalents
Wellington,"Agriculture, forestry, and fishing",Total,Total,Carbon dioxide equivalents,2008,1402.73,Kilotonnes,Carbon dioxide equivalents
Wellington,"Agriculture, forestry, and fishing",Total,Total,Carbon dioxide equivalents,2009,1359.42,Kilotonnes,Carbon dioxide equivalents
Wellington,"Agriculture, forestry, and fishing",Total,Total,Carbon dioxide equivalents,2010,1317.15,Kilotonnes,Carbon dioxide equivalents
Wellington,"Agriculture, forestry, and fishing",Total,Total,Carbon dioxide equivalents,2011,1388.74,Kilotonnes,Carbon dioxide equivalents
Wellington,"Agriculture, forestry, and fishing",Total,Total,Carbon dioxide equivalents,2012,1410.67,Kilotonnes,Carbon dioxide equivalents
Wellington,"Agriculture, forestry, and fishing",Total,Total,Carbon dioxide equivalents,2013,1333.62,Kilotonnes,Carbon dioxide equivalents
Wellington,"Agriculture, forestry, and fishing",Total,Total,Carbon dioxide equivalents,2014,1351.92,Kilotonnes,Carbon dioxide equivalents
Wellington,"Agriculture, forestry, and fishing",Total,Total,Carbon dioxide equivalents,2015,1245.07,Kilotonnes,Carbon dioxide equivalents
Wellington,"Agriculture, forestry, and fishing",Total,Total,Carbon dioxide equivalents,2016,1213.29,Kilotonnes,Carbon dioxide equivalents
Wellington,"Agriculture, forestry, and fishing",Total,Total,Carbon dioxide equivalents,2017,1293.43,Kilotonnes,Carbon dioxide equivalents
Wellington,"Agriculture, forestry, and fishing",Total,Total,Carbon dioxide equivalents,2018,1260.49,Kilotonnes,Carbon dioxide equivalents
Wellington,"Agriculture, forestry, and fishing",Total,Total,Carbon dioxide equivalents,2019,1294.36,Kilotonnes,Carbon dioxide equivalents
Wellington,"Agriculture, forestry, and fishing",Total,Total,Carbon dioxide equivalents,2020,1315.23,Kilotonnes,Carbon dioxide equivalents
Wellington,"Agriculture, forestry, and fishing",Total,Total,Carbon dioxide equivalents,2021,1252.21,Kilotonnes,Carbon dioxide equivalents
Wellington,"Agriculture, forestry, and fishing",Total,Total,Carbon dioxide equivalents,2022,1203.06,Kilotonnes,Carbon dioxide equivalents
Wellington,"Agriculture, forestry, and fishing",Total,Total,Carbon dioxide equivalents,2023,1190.39,Kilotonnes,Carbon dioxide equivalents
Wellington,"Agriculture, forestry, and fishing",Total,Total,Carbon dioxide equivalents,2024,1090.03,Kilotonnes,Carbon dioxide equivalents
West Coast,"Agriculture, forestry, and fishing",Total,Total,Carbon dioxide equivalents,2007,664.86,Kilotonnes,Carbon dioxide equivalents
West Coast,"Agriculture, forestry, and fishing",Total,Total,Carbon dioxide equivalents,2008,672.93,Kilotonnes,Carbon dioxide equivalents
West Coast,"Agriculture, forestry, and fishing",Total,Total,Carbon dioxide equivalents,2009,703.11,Kilotonnes,Carbon dioxide equivalents
West Coast,"Agriculture, forestry, and fishing",Total,Total,Carbon dioxide equivalents,2010,691.31,Kilotonnes,Carbon dioxide equivalents
West Coast,"Agriculture, forestry, and fishing",Total,Total,Carbon dioxide equivalents,2011,705.15,Kilotonnes,Carbon dioxide equivalents
West Coast,"Agriculture, forestry, and fishing",Total,Total,Carbon dioxide equivalents,2012,743.31,Kilotonnes,Carbon dioxide equivalents
West Coast,"Agriculture, forestry, and fishing",Total,Total,Carbon dioxide equivalents,2013,733.76,Kilotonnes,Carbon dioxide equivalents
West Coast,"Agriculture, forestry, and fishing",Total,Total,Carbon dioxide equivalents,2014,798.37,Kilotonnes,Carbon dioxide equivalents
West Coast,"Agriculture, forestry, and fishing",Total,Total,Carbon dioxide equivalents,2015,782.34,Kilotonnes,Carbon dioxide equivalents
West Coast,"Agriculture, forestry, and fishing",Total,Total,Carbon dioxide equivalents,2016,753.85,Kilotonnes,Carbon dioxide equivalents
West Coast,"Agriculture, forestry, and fishing",Total,Total,Carbon dioxide equivalents,2017,721.23,Kilotonnes,Carbon dioxide equivalents
West Coast,"Agriculture, forestry, and fishing",Total,Total,Carbon dioxide equivalents,2018,684.81,Kilotonnes,Carbon dioxide equivalents
West Coast,"Agriculture, forestry, and fishing",Total,Total,Carbon dioxide equivalents,2019,704.9,Kilotonnes,Carbon dioxide equivalents
West Coast,"Agriculture, forestry, and fishing",Total,Total,Carbon dioxide equivalents,2020,744.58,Kilotonnes,Carbon dioxide equivalents
West Coast,"Agriculture, forestry, and fishing",Total,Total,Carbon dioxide equivalents,2021,702.65,Kilotonnes,Carbon dioxide equivalents
West Coast,"Agriculture, forestry, and fishing",Total,Total,Carbon dioxide equivalents,2022,684.39,Kilotonnes,Carbon dioxide equivalents
West Coast,"Agriculture, forestry, and fishing",Total,Total,Carbon dioxide equivalents,2023,671.51,Kilotonnes,Carbon dioxide equivalents
West Coast,"Agriculture, forestry, and fishing",Total,Total,Carbon dioxide equivalents,2024,701.6,Kilotonnes,Carbon dioxide equivalents
Auckland,Mining,Total,Total,Carbon dioxide equivalents,2007,26.14,Kilotonnes,Carbon dioxide equivalents
Auckland,Mining,Total,Total,Carbon dioxide equivalents,2008,25.95,Kilotonnes,Carbon dioxide equivalents
Auckland,Mining,Total,Total,Carbon dioxide equivalents,2009,34.09,Kilotonnes,Carbon dioxide equivalents
Auckland,Mining,Total,Total,Carbon dioxide equivalents,2010,35.33,Kilotonnes,Carbon dioxide equivalents
Auckland,Mining,Total,Total,Carbon dioxide equivalents,2011,30.83,Kilotonnes,Carbon dioxide equivalents
Auckland,Mining,Total,Total,Carbon dioxide equivalents,2012,34.53,Kilotonnes,Carbon dioxide equivalents
Auckland,Mining,Total,Total,Carbon dioxide equivalents,2013,39.5,Kilotonnes,Carbon dioxide equivalents
Auckland,Mining,Total,Total,Carbon dioxide equivalents,2014,34.29,Kilotonnes,Carbon dioxide equivalents
Auckland,Mining,Total,Total,Carbon dioxide equivalents,2015,51.28,Kilotonnes,Carbon dioxide equivalents
Auckland,Mining,Total,Total,Carbon dioxide equivalents,2016,50.92,Kilotonnes,Carbon dioxide equivalents
Auckland,Mining,Total,Total,Carbon dioxide equivalents,2017,45.07,Kilotonnes,Carbon dioxide equivalents
Auckland,Mining,Total,Total,Carbon dioxide equivalents,2018,31.72,Kilotonnes,Carbon dioxide equivalents
Auckland,Mining,Total,Total,Carbon dioxide equivalents,2019,43.92,Kilotonnes,Carbon dioxide equivalents
Auckland,Mining,Total,Total,Carbon dioxide equivalents,2020,50.59,Kilotonnes,Carbon dioxide equivalents
Auckland,Mining,Total,Total,Carbon dioxide equivalents,2021,52.64,Kilotonnes,Carbon dioxide equivalents
Auckland,Mining,Total,Total,Carbon dioxide equivalents,2022,61.1,Kilotonnes,Carbon dioxide equivalents
Auckland,Mining,Total,Total,Carbon dioxide equivalents,2023,42.08,Kilotonnes,Carbon dioxide equivalents
Auckland,Mining,Total,Total,Carbon dioxide equivalents,2024,40.11,Kilotonnes,Carbon dioxide equivalents
Bay of Plenty,Mining,Total,Total,Carbon dioxide equivalents,2007,8.44,Kilotonnes,Carbon dioxide equivalents
Bay of Plenty,Mining,Total,Total,Carbon dioxide equivalents,2008,7.68,Kilotonnes,Carbon dioxide equivalents
Bay of Plenty,Mining,Total,Total,Carbon dioxide equivalents,2009,13.31,Kilotonnes,Carbon dioxide equivalents
Bay of Plenty,Mining,Total,Total,Carbon dioxide equivalents,2010,7.56,Kilotonnes,Carbon dioxide equivalents
Bay of Plenty,Mining,Total,Total,Carbon dioxide equivalents,2011,8.76,Kilotonnes,Carbon dioxide equivalents
Bay of Plenty,Mining,Total,Total,Carbon dioxide equivalents,2012,8.11,Kilotonnes,Carbon dioxide equivalents
Bay of Plenty,Mining,Total,Total,Carbon dioxide equivalents,2013,13.61,Kilotonnes,Carbon dioxide equivalents
Bay of Plenty,Mining,Total,Total,Carbon dioxide equivalents,2014,9.53,Kilotonnes,Carbon dioxide equivalents
Bay of Plenty,Mining,Total,Total,Carbon dioxide equivalents,2015,4.72,Kilotonnes,Carbon dioxide equivalents
Bay of Plenty,Mining,Total,Total,Carbon dioxide equivalents,2016,6.64,Kilotonnes,Carbon dioxide equivalents
Bay of Plenty,Mining,Total,Total,Carbon dioxide equivalents,2017,7.66,Kilotonnes,Carbon dioxide equivalents
Bay of Plenty,Mining,Total,Total,Carbon dioxide equivalents,2018,6.96,Kilotonnes,Carbon dioxide equivalents
Bay of Plenty,Mining,Total,Total,Carbon dioxide equivalents,2019,8.32,Kilotonnes,Carbon dioxide equivalents
Bay of Plenty,Mining,Total,Total,Carbon dioxide equivalents,2020,8.98,Kilotonnes,Carbon dioxide equivalents
Bay of Plenty,Mining,Total,Total,Carbon dioxide equivalents,2021,7.14,Kilotonnes,Carbon dioxide equivalents
Bay of Plenty,Mining,Total,Total,Carbon dioxide equivalents,2022,6.12,Kilotonnes,Carbon dioxide equivalents
Bay of Plenty,Mining,Total,Total,Carbon dioxide equivalents,2023,8.76,Kilotonnes,Carbon dioxide equivalents
Bay of Plenty,Mining,Total,Total,Carbon dioxide equivalents,2024,8.4,Kilotonnes,Carbon dioxide equivalents
Canterbury,Mining,Total,Total,Carbon dioxide equivalents,2007,21.4,Kilotonnes,Carbon dioxide equivalents
Canterbury,Mining,Total,Total,Carbon dioxide equivalents,2008,18.56,Kilotonnes,Carbon dioxide equivalents
Canterbury,Mining,Total,Total,Carbon dioxide equivalents,2009,22.57,Kilotonnes,Carbon dioxide equivalents
Canterbury,Mining,Total,Total,Carbon dioxide equivalents,2010,17.16,Kilotonnes,Carbon dioxide equivalents
Canterbury,Mining,Total,Total,Carbon dioxide equivalents,2011,24.74,Kilotonnes,Carbon dioxide equivalents
Canterbury,Mining,Total,Total,Carbon dioxide equivalents,2012,33.35,Kilotonnes,Carbon dioxide equivalents
Canterbury,Mining,Total,Total,Carbon dioxide equivalents,2013,55.29,Kilotonnes,Carbon dioxide equivalents
Canterbury,Mining,Total,Total,Carbon dioxide equivalents,2014,39.35,Kilotonnes,Carbon dioxide equivalents
Canterbury,Mining,Total,Total,Carbon dioxide equivalents,2015,41.1,Kilotonnes,Carbon dioxide equivalents
Canterbury,Mining,Total,Total,Carbon dioxide equivalents,2016,56.63,Kilotonnes,Carbon dioxide equivalents
Canterbury,Mining,Total,Total,Carbon dioxide equivalents,2017,49.66,Kilotonnes,Carbon dioxide equivalents
Canterbury,Mining,Total,Total,Carbon dioxide equivalents,2018,43.5,Kilotonnes,Carbon dioxide equivalents
Canterbury,Mining,Total,Total,Carbon dioxide equivalents,2019,48.51,Kilotonnes,Carbon dioxide equivalents
Canterbury,Mining,Total,Total,Carbon dioxide equivalents,2020,34.15,Kilotonnes,Carbon dioxide equivalents
Canterbury,Mining,Total,Total,Carbon dioxide equivalents,2021,27.36,Kilotonnes,Carbon dioxide equivalents
Canterbury,Mining,Total,Total,Carbon dioxide equivalents,2022,33.09,Kilotonnes,Carbon dioxide equivalents
Canterbury,Mining,Total,Total,Carbon dioxide equivalents,2023,30.84,Kilotonnes,Carbon dioxide equivalents
Canterbury,Mining,Total,Total,Carbon dioxide equivalents,2024,29.57,Kilotonnes,Carbon dioxide equivalents
Gisborne,Mining,Total,Total,Carbon dioxide equivalents,2007,0.96,Kilotonnes,Carbon dioxide equivalents
Gisborne,Mining,Total,Total,Carbon dioxide equivalents,2008,0.66,Kilotonnes,Carbon dioxide equivalents
Gisborne,Mining,Total,Total,Carbon dioxide equivalents,2009,1.48,Kilotonnes,Carbon dioxide equivalents
Gisborne,Mining,Total,Total,Carbon dioxide equivalents,2010,1.89,Kilotonnes,Carbon dioxide equivalents
Gisborne,Mining,Total,Total,Carbon dioxide equivalents,2011,1.86,Kilotonnes,Carbon dioxide equivalents
Gisborne,Mining,Total,Total,Carbon dioxide equivalents,2012,1.58,Kilotonnes,Carbon dioxide equivalents
Gisborne,Mining,Total,Total,Carbon dioxide equivalents,2013,1.94,Kilotonnes,Carbon dioxide equivalents
Gisborne,Mining,Total,Total,Carbon dioxide equivalents,2014,0.64,Kilotonnes,Carbon dioxide equivalents
Gisborne,Mining,Total,Total,Carbon dioxide equivalents,2015,1.77,Kilotonnes,Carbon dioxide equivalents
Gisborne,Mining,Total,Total,Carbon dioxide equivalents,2016,1.71,Kilotonnes,Carbon dioxide equivalents
Gisborne,Mining,Total,Total,Carbon dioxide equivalents,2017,2.03,Kilotonnes,Carbon dioxide equivalents
Gisborne,Mining,Total,Total,Carbon dioxide equivalents,2018,1.46,Kilotonnes,Carbon dioxide equivalents
Gisborne,Mining,Total,Total,Carbon dioxide equivalents,2019,2.47,Kilotonnes,Carbon dioxide equivalents
Gisborne,Mining,Total,Total,Carbon dioxide equivalents,2020,1.87,Kilotonnes,Carbon dioxide equivalents
Gisborne,Mining,Total,Total,Carbon dioxide equivalents,2021,1.98,Kilotonnes,Carbon dioxide equivalents
Gisborne,Mining,Total,Total,Carbon dioxide equivalents,2022,3.87,Kilotonnes,Carbon dioxide equivalents
Gisborne,Mining,Total,Total,Carbon dioxide equivalents,2023,2.88,Kilotonnes,Carbon dioxide equivalents
Gisborne,Mining,Total,Total,Carbon dioxide equivalents,2024,2.75,Kilotonnes,Carbon dioxide equivalents
Hawke's Bay,Mining,Total,Total,Carbon dioxide equivalents,2007,3.61,Kilotonnes,Carbon dioxide equivalents
Hawke's Bay,Mining,Total,Total,Carbon dioxide equivalents,2008,3.63,Kilotonnes,Carbon dioxide equivalents
Hawke's Bay,Mining,Total,Total,Carbon dioxide equivalents,2009,5.54,Kilotonnes,Carbon dioxide equivalents
Hawke's Bay,Mining,Total,Total,Carbon dioxide equivalents,2010,5.51,Kilotonnes,Carbon dioxide equivalents
Hawke's Bay,Mining,Total,Total,Carbon dioxide equivalents,2011,5.56,Kilotonnes,Carbon dioxide equivalents
Hawke's Bay,Mining,Total,Total,Carbon dioxide equivalents,2012,4.41,Kilotonnes,Carbon dioxide equivalents
Hawke's Bay,Mining,Total,Total,Carbon dioxide equivalents,2013,4.59,Kilotonnes,Carbon dioxide equivalents
Hawke's Bay,Mining,Total,Total,Carbon dioxide equivalents,2014,5.88,Kilotonnes,Carbon dioxide equivalents
Hawke's Bay,Mining,Total,Total,Carbon dioxide equivalents,2015,4.55,Kilotonnes,Carbon dioxide equivalents
Hawke's Bay,Mining,Total,Total,Carbon dioxide equivalents,2016,4.98,Kilotonnes,Carbon dioxide equivalents
Hawke's Bay,Mining,Total,Total,Carbon dioxide equivalents,2017,4.27,Kilotonnes,Carbon dioxide equivalents
Hawke's Bay,Mining,Total,Total,Carbon dioxide equivalents,2018,2.29,Kilotonnes,Carbon dioxide equivalents
Hawke's Bay,Mining,Total,Total,Carbon dioxide equivalents,2019,3.02,Kilotonnes,Carbon dioxide equivalents
Hawke's Bay,Mining,Total,Total,Carbon dioxide equivalents,2020,3.72,Kilotonnes,Carbon dioxide equivalents
Hawke's Bay,Mining,Total,Total,Carbon dioxide equivalents,2021,4.89,Kilotonnes,Carbon dioxide equivalents
Hawke's Bay,Mining,Total,Total,Carbon dioxide equivalents,2022,3.5,Kilotonnes,Carbon dioxide equivalents
Hawke's Bay,Mining,Total,Total,Carbon dioxide equivalents,2023,3.43,Kilotonnes,Carbon dioxide equivalents
Hawke's Bay,Mining,Total,Total,Carbon dioxide equivalents,2024,3.27,Kilotonnes,Carbon dioxide equivalents
Manawatu-Whanganui,Mining,Total,Total,Carbon dioxide equivalents,2007,7.57,Kilotonnes,Carbon dioxide equivalents
Manawatu-Whanganui,Mining,Total,Total,Carbon dioxide equivalents,2008,8.58,Kilotonnes,Carbon dioxide equivalents
Manawatu-Whanganui,Mining,Total,Total,Carbon dioxide equivalents,2009,9.17,Kilotonnes,Carbon dioxide equivalents
Manawatu-Whanganui,Mining,Total,Total,Carbon dioxide equivalents,2010,6.03,Kilotonnes,Carbon dioxide equivalents
Manawatu-Whanganui,Mining,Total,Total,Carbon dioxide equivalents,2011,7.48,Kilotonnes,Carbon dioxide equivalents
Manawatu-Whanganui,Mining,Total,Total,Carbon dioxide equivalents,2012,6.43,Kilotonnes,Carbon dioxide equivalents
Manawatu-Whanganui,Mining,Total,Total,Carbon dioxide equivalents,2013,8.62,Kilotonnes,Carbon dioxide equivalents
Manawatu-Whanganui,Mining,Total,Total,Carbon dioxide equivalents,2014,11.19,Kilotonnes,Carbon dioxide equivalents
Manawatu-Whanganui,Mining,Total,Total,Carbon dioxide equivalents,2015,8.28,Kilotonnes,Carbon dioxide equivalents
Manawatu-Whanganui,Mining,Total,Total,Carbon dioxide equivalents,2016,8.54,Kilotonnes,Carbon dioxide equivalents
Manawatu-Whanganui,Mining,Total,Total,Carbon dioxide equivalents,2017,10.01,Kilotonnes,Carbon dioxide equivalents
Manawatu-Whanganui,Mining,Total,Total,Carbon dioxide equivalents,2018,7.69,Kilotonnes,Carbon dioxide equivalents
Manawatu-Whanganui,Mining,Total,Total,Carbon dioxide equivalents,2019,10.28,Kilotonnes,Carbon dioxide equivalents
Manawatu-Whanganui,Mining,Total,Total,Carbon dioxide equivalents,2020,12.28,Kilotonnes,Carbon dioxide equivalents
Manawatu-Whanganui,Mining,Total,Total,Carbon dioxide equivalents,2021,0.32,Kilotonnes,Carbon dioxide equivalents
Manawatu-Whanganui,Mining,Total,Total,Carbon dioxide equivalents,2022,1.25,Kilotonnes,Carbon dioxide equivalents
Manawatu-Whanganui,Mining,Total,Total,Carbon dioxide equivalents,2023,7.12,Kilotonnes,Carbon dioxide equivalents
Manawatu-Whanganui,Mining,Total,Total,Carbon dioxide equivalents,2024,6.79,Kilotonnes,Carbon dioxide equivalents
Marlborough,Mining,Total,Total,Carbon dioxide equivalents,2007,1.44,Kilotonnes,Carbon dioxide equivalents
Marlborough,Mining,Total,Total,Carbon dioxide equivalents,2008,1.54,Kilotonnes,Carbon dioxide equivalents
Marlborough,Mining,Total,Total,Carbon dioxide equivalents,2009,2.17,Kilotonnes,Carbon dioxide equivalents
Marlborough,Mining,Total,Total,Carbon dioxide equivalents,2010,1.58,Kilotonnes,Carbon dioxide equivalents
Marlborough,Mining,Total,Total,Carbon dioxide equivalents,2011,1.35,Kilotonnes,Carbon dioxide equivalents
Marlborough,Mining,Total,Total,Carbon dioxide equivalents,2012,1.18,Kilotonnes,Carbon dioxide equivalents
Marlborough,Mining,Total,Total,Carbon dioxide equivalents,2013,1.61,Kilotonnes,Carbon dioxide equivalents
Marlborough,Mining,Total,Total,Carbon dioxide equivalents,2014,1.28,Kilotonnes,Carbon dioxide equivalents
Marlborough,Mining,Total,Total,Carbon dioxide equivalents,2015,0.98,Kilotonnes,Carbon dioxide equivalents
Marlborough,Mining,Total,Total,Carbon dioxide equivalents,2016,1.13,Kilotonnes,Carbon dioxide equivalents
Marlborough,Mining,Total,Total,Carbon dioxide equivalents,2017,0.66,Kilotonnes,Carbon dioxide equivalents
Marlborough,Mining,Total,Total,Carbon dioxide equivalents,2018,1.21,Kilotonnes,Carbon dioxide equivalents
Marlborough,Mining,Total,Total,Carbon dioxide equivalents,2019,0.87,Kilotonnes,Carbon dioxide equivalents
Marlborough,Mining,Total,Total,Carbon dioxide equivalents,2020,0.87,Kilotonnes,Carbon dioxide equivalents
Marlborough,Mining,Total,Total,Carbon dioxide equivalents,2021,1.18,Kilotonnes,Carbon dioxide equivalents
Marlborough,Mining,Total,Total,Carbon dioxide equivalents,2022,0.14,Kilotonnes,Carbon dioxide equivalents
Marlborough,Mining,Total,Total,Carbon dioxide equivalents,2023,1.05,Kilotonnes,Carbon dioxide equivalents
Marlborough,Mining,Total,Total,Carbon dioxide equivalents,2024,1.01,Kilotonnes,Carbon dioxide equivalents
Northland,Mining,Total,Total,Carbon dioxide equivalents,2007,14.36,Kilotonnes,Carbon dioxide equivalents
Northland,Mining,Total,Total,Carbon dioxide equivalents,2008,13.67,Kilotonnes,Carbon dioxide equivalents
Northland,Mining,Total,Total,Carbon dioxide equivalents,2009,13.61,Kilotonnes,Carbon dioxide equivalents
Northland,Mining,Total,Total,Carbon dioxide equivalents,2010,18.86,Kilotonnes,Carbon dioxide equivalents
Northland,Mining,Total,Total,Carbon dioxide equivalents,2011,15.44,Kilotonnes,Carbon dioxide equivalents
Northland,Mining,Total,Total,Carbon dioxide equivalents,2012,17.1,Kilotonnes,Carbon dioxide equivalents
Northland,Mining,Total,Total,Carbon dioxide equivalents,2013,20.84,Kilotonnes,Carbon dioxide equivalents
Northland,Mining,Total,Total,Carbon dioxide equivalents,2014,14.38,Kilotonnes,Carbon dioxide equivalents
Northland,Mining,Total,Total,Carbon dioxide equivalents,2015,16.36,Kilotonnes,Carbon dioxide equivalents
Northland,Mining,Total,Total,Carbon dioxide equivalents,2016,16.45,Kilotonnes,Carbon dioxide equivalents
Northland,Mining,Total,Total,Carbon dioxide equivalents,2017,14.88,Kilotonnes,Carbon dioxide equivalents
Northland,Mining,Total,Total,Carbon dioxide equivalents,2018,9.56,Kilotonnes,Carbon dioxide equivalents
Northland,Mining,Total,Total,Carbon dioxide equivalents,2019,13.46,Kilotonnes,Carbon dioxide equivalents
Northland,Mining,Total,Total,Carbon dioxide equivalents,2020,14.07,Kilotonnes,Carbon dioxide equivalents
Northland,Mining,Total,Total,Carbon dioxide equivalents,2021,16.12,Kilotonnes,Carbon dioxide equivalents
Northland,Mining,Total,Total,Carbon dioxide equivalents,2022,8.1,Kilotonnes,Carbon dioxide equivalents
Northland,Mining,Total,Total,Carbon dioxide equivalents,2023,14.63,Kilotonnes,Carbon dioxide equivalents
Northland,Mining,Total,Total,Carbon dioxide equivalents,2024,13.95,Kilotonnes,Carbon dioxide equivalents
Otago,Mining,Total,Total,Carbon dioxide equivalents,2007,15.83,Kilotonnes,Carbon dioxide equivalents
Otago,Mining,Total,Total,Carbon dioxide equivalents,2008,15.8,Kilotonnes,Carbon dioxide equivalents
Otago,Mining,Total,Total,Carbon dioxide equivalents,2009,19.93,Kilotonnes,Carbon dioxide equivalents
Otago,Mining,Total,Total,Carbon dioxide equivalents,2010,22.51,Kilotonnes,Carbon dioxide equivalents
Otago,Mining,Total,Total,Carbon dioxide equivalents,2011,18.49,Kilotonnes,Carbon dioxide equivalents
Otago,Mining,Total,Total,Carbon dioxide equivalents,2012,20.65,Kilotonnes,Carbon dioxide equivalents
Otago,Mining,Total,Total,Carbon dioxide equivalents,2013,19.95,Kilotonnes,Carbon dioxide equivalents
Otago,Mining,Total,Total,Carbon dioxide equivalents,2014,13.79,Kilotonnes,Carbon dioxide equivalents
Otago,Mining,Total,Total,Carbon dioxide equivalents,2015,13.27,Kilotonnes,Carbon dioxide equivalents
Otago,Mining,Total,Total,Carbon dioxide equivalents,2016,14.46,Kilotonnes,Carbon dioxide equivalents
Otago,Mining,Total,Total,Carbon dioxide equivalents,2017,16.03,Kilotonnes,Carbon dioxide equivalents
Otago,Mining,Total,Total,Carbon dioxide equivalents,2018,13.73,Kilotonnes,Carbon dioxide equivalents
Otago,Mining,Total,Total,Carbon dioxide equivalents,2019,19.09,Kilotonnes,Carbon dioxide equivalents
Otago,Mining,Total,Total,Carbon dioxide equivalents,2020,17.83,Kilotonnes,Carbon dioxide equivalents
Otago,Mining,Total,Total,Carbon dioxide equivalents,2021,15.8,Kilotonnes,Carbon dioxide equivalents
Otago,Mining,Total,Total,Carbon dioxide equivalents,2022,19.11,Kilotonnes,Carbon dioxide equivalents
Otago,Mining,Total,Total,Carbon dioxide equivalents,2023,16.42,Kilotonnes,Carbon dioxide equivalents
Otago,Mining,Total,Total,Carbon dioxide equivalents,2024,15.63,Kilotonnes,Carbon dioxide equivalents
Southland,Mining,Total,Total,Carbon dioxide equivalents,2007,18.06,Kilotonnes,Carbon dioxide equivalents
Southland,Mining,Total,Total,Carbon dioxide equivalents,2008,25.22,Kilotonnes,Carbon dioxide equivalents
Southland,Mining,Total,Total,Carbon dioxide equivalents,2009,30.46,Kilotonnes,Carbon dioxide equivalents
Southland,Mining,Total,Total,Carbon dioxide equivalents,2010,23.8,Kilotonnes,Carbon dioxide equivalents
Southland,Mining,Total,Total,Carbon dioxide equivalents,2011,31.84,Kilotonnes,Carbon dioxide equivalents
Southland,Mining,Total,Total,Carbon dioxide equivalents,2012,32.8,Kilotonnes,Carbon dioxide equivalents
Southland,Mining,Total,Total,Carbon dioxide equivalents,2013,31.61,Kilotonnes,Carbon dioxide equivalents
Southland,Mining,Total,Total,Carbon dioxide equivalents,2014,36.08,Kilotonnes,Carbon dioxide equivalents
Southland,Mining,Total,Total,Carbon dioxide equivalents,2015,41.07,Kilotonnes,Carbon dioxide equivalents
Southland,Mining,Total,Total,Carbon dioxide equivalents,2016,37.91,Kilotonnes,Carbon dioxide equivalents
Southland,Mining,Total,Total,Carbon dioxide equivalents,2017,49.35,Kilotonnes,Carbon dioxide equivalents
Southland,Mining,Total,Total,Carbon dioxide equivalents,2018,46.03,Kilotonnes,Carbon dioxide equivalents
