Region,Anzsic_descriptor,Sub_industry,Household_category,Gas,Year,Data_value,Units,Magnitude
Canterbury,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2015,91.62,Kilotonnes,Carbon dioxide equivalents
Canterbury,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2016,80.55,Kilotonnes,Carbon dioxide equivalents
Canterbury,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2017,79.09,Kilotonnes,Carbon dioxide equivalents
Canterbury,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2018,86.45,Kilotonnes,Carbon dioxide equivalents
Canterbury,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2019,103.92,Kilotonnes,Carbon dioxide equivalents
Canterbury,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2020,104.53,Kilotonnes,Carbon dioxide equivalents
Canterbury,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2021,91.44,Kilotonnes,Carbon dioxide equivalents
Canterbury,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2022,91.49,Kilotonnes,Carbon dioxide equivalents
Canterbury,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2023,94.47,Kilotonnes,Carbon dioxide equivalents
Gisborne,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2007,25.85,Kilotonnes,Carbon dioxide equivalents
Gisborne,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2008,34.64,Kilotonnes,Carbon dioxide equivalents
Gisborne,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2009,34.7,Kilotonnes,Carbon dioxide equivalents
Gisborne,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2010,36.62,Kilotonnes,Carbon dioxide equivalents
Gisborne,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2011,37.15,Kilotonnes,Carbon dioxide equivalents
Gisborne,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2012,39.75,Kilotonnes,Carbon dioxide equivalents
Gisborne,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2013,49.97,Kilotonnes,Carbon dioxide equivalents
Gisborne,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2014,41.5,Kilotonnes,Carbon dioxide equivalents
Gisborne,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2015,49.08,Kilotonnes,Carbon dioxide equivalents
Gisborne,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2016,53.75,Kilotonnes,Carbon dioxide equivalents
Gisborne,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2017,33.35,Kilotonnes,Carbon dioxide equivalents
Gisborne,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2018,55.2,Kilotonnes,Carbon dioxide equivalents
Gisborne,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2019,37.56,Kilotonnes,Carbon dioxide equivalents
Gisborne,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2020,39.68,Kilotonnes,Carbon dioxide equivalents
Gisborne,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2021,46.46,Kilotonnes,Carbon dioxide equivalents
Gisborne,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2022,39.66,Kilotonnes,Carbon dioxide equivalents
Gisborne,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2023,64.59,Kilotonnes,Carbon dioxide equivalents
Hawke's Bay,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2007,52.13,Kilotonnes,Carbon dioxide equivalents
